trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.3, 'e': 0.43171052342907973}",25,0,-50.39449742973121,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
43,False,"{'a': 0.3, 'e': 0.4231620823177488}",25,0,-59.93221683310148,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
44,False,"{'a': 0.3, 'e': 0.4147829116815814}",30,8,-28.73393079471412,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 0}",1
45,False,"{'a': 0.3, 'e': 0.4065696597405991}",20,0,-7.923039397855926,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
46,False,"{'a': 0.3, 'e': 0.39851904108451414}",20,13,2.260049055296423,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.3, 'e': 0.3906278353585211}",20,0,-73.39131789297497,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
48,False,"{'a': 0.3, 'e': 0.38289288597511206}",20,14,2.5957466847160995,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.3, 'e': 0.37531109885139957}",25,6,8.150880950738877,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
50,False,"{'a': 0.3, 'e': 0.36787944117144233}",25,0,-50.87322970717705,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
51,False,"{'a': 0.3, 'e': 0.3605949401730783}",30,5,-37.22640660210902,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 1}",1
52,False,"{'a': 0.3, 'e': 0.35345468195878016}",30,19,-42.2498190399921,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
53,False,"{'a': 0.3, 'e': 0.3464558103300574}",30,4,-72.64746696773571,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 2}",1
54,False,"{'a': 0.3, 'e': 0.3395955256449391}",20,11,-9.683772024892594,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
55,False,"{'a': 0.3, 'e': 0.33287108369807955}",20,1,5.980181427155288,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
56,False,"{'a': 0.3, 'e': 0.32627979462303947}",25,13,-34.872658234288735,"{0: 9, 1: 0, 2: 1, 3: 2, 4: 0}",1
57,False,"{'a': 0.3, 'e': 0.31981902181630384}",20,1,19.4451329673597,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.3, 'e': 0.3134861808826053}",30,10,2.453664530554316,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.3, 'e': 0.30727873860113125}",20,13,-29.783494419333465,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
60,False,"{'a': 0.3, 'e': 0.30119421191220214}",30,5,-70.10394422298553,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",1
61,False,"{'a': 0.3, 'e': 0.2952301669240142}",30,14,4.5406970227383585,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.3, 'e': 0.2893842179390506}",20,15,11.110602956055757,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.3, 'e': 0.2836540264997704}",20,0,19.869640177835183,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
64,False,"{'a': 0.3, 'e': 0.27803730045319414}",20,4,2.899700823255408,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
65,False,"{'a': 0.3, 'e': 0.2725317930340126}",20,0,-51.281900379209375,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
66,False,"{'a': 0.3, 'e': 0.26713530196585034}",25,12,-10.818271980387843,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
67,False,"{'a': 0.3, 'e': 0.261845668580326}",20,7,14.59230970487036,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
